"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1285";"ikke";"RN";3033;0,99;203,3;0,94;"72%";131,8;"18%";32;39
"1286";"spasz";NA;895;0,99;192,5;1;"71%";127,4;"30%";23;1
"1287";"BayPopper";NA;55;0,99;207;0,95;"82%";128,4;"29%";20;2
"1288";"ColeCree";NA;81;0,99;207,8;0,92;"72%";137,6;"26%";17;2
"1289";"Nozz";"BOBO";2496;0,99;180,8;0,96;"72%";117,6;"22%";24;-24
"1290";"bacyx";"TBG";1570;0,99;202,6;0,97;"69%";133,5;"25%";34;-1
"1291";"Muffyn";"X10S";1640;0,99;227,3;1,01;"70%";144,3;"19%";27;14
"1292";"falltw";"CASE";2618;0,99;204;0,96;"71%";134,5;"28%";31;-1
"1293";"l0udly";"AG";1923;0,99;195,1;0,9;"71%";127,9;"23%";29;-47
"1294";"DALADAVVE";"Hogw";255;0,99;202;0,83;"75%";136,3;"14%";22;-3
"1295";"Shanks";"NRG";4008;0,99;216,1;1,02;"70%";130,2;"17%";30;89
"1296";"2766";"NCG";707;0,99;178,7;0,9;"70%";116,7;"17%";23;-10
"1297";"ZerG";"TI";1677;0,99;216,3;1,01;"68%";141;"26%";31;23
"1298";"JN3v1cEEE";"FF";2409;0,99;184,2;0,96;"71%";120,5;"26%";28;0
"1299";"Anoxai";"Ksen";1954;0,99;215;0,99;"69%";140,9;"22%";30;12
"1300";"Playboi";"Joe
																			RESO";3998;0,99;209,7;0,99;"71%";138,4;"22%";33;-42
"1301";"WWWWW";NA;50;0,99;196;0,83;"78%";138,1;"14%";19;2
"1302";"Oir4mZz";NA;87;0,99;215,5;0,94;"76%";133;"21%";20;2
"1303";"APO";"MDR";2188;0,99;187,4;0,99;"69%";124,2;"28%";27;-8
"1304";"Skadoodle";"T1";1896;0,99;192,5;1,03;"73%";119,9;"19%";30;35
"1305";"mini";"GAL";1268;0,99;212,4;1,06;"68%";134,7;"31%";29;-13
"1306";"tylerboy";NA;1692;0,99;222,5;1,04;"71%";146,6;"23%";32;-3
"1307";"soupee";NA;84;0,99;247;1,03;"71%";150;"18%";21;1
"1308";"rajadaJJ";NA;1297;0,99;202,9;1,05;"67%";131,9;"26%";25;47
"1309";"rayse";"IMT";1199;0,99;220,2;0,99;"70%";143,8;"24%";29;24
"1310";"marteen";"GMT";1301;0,99;206,1;0,93;"68%";133,9;"25%";34;-1
"1311";"Shniider";"EGYPT";2421;0,99;195,1;0,99;"71%";128;"33%";27;-44
"1312";"freddan";NA;104;0,99;197,4;0,96;"76%";128,7;"37%";18;0
"1313";"mummAy";"NA";4962;0,99;199,7;1,05;"69%";124,6;"22%";28;124
"1314";"aduka";"OGT";2525;0,99;226,8;1;"67%";148;"22%";33;4
"1315";"thàng";"map
																			FC";270;0,99;205,7;0,97;"64%";131,5;"14%";27;-11
